City,Location,Date,PM2.5,PM10,NO2,NO,NOx,SO2,CO,Ozone,Temp,CO2,Latitude,Longitude
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,01-08-2024 00:00,11.9,49.94,7.64,10.37,2.19,14.83,0.74,13.23,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,02-08-2024 00:00,10.1,32.51,6.62,13.75,2.22,16.78,0.69,12.34,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,03-08-2024 00:00,10.42,31.06,6.62,9.49,2.44,13.27,0.65,12.85,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,04-08-2024 00:00,11.54,34.29,6.18,10.34,2.09,13.61,0.65,10.51,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,05-08-2024 00:00,9.96,40.74,7.22,19.66,2.25,22.13,0.69,9.19,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,06-08-2024 00:00,10.74,43.07,7.46,19.13,2.34,21.9,0.76,8.13,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,07-08-2024 00:00,11.09,36.41,6.03,8.69,2.21,12.13,0.8,13.06,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,08-08-2024 00:00,16.89,67.83,5.96,10.09,2.38,13.21,0.8,11.39,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,09-08-2024 00:00,12.18,52.26,4.7,7.51,2.52,10.06,0.55,12.73,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,10-08-2024 00:00,10.74,47.49,4.55,7.53,2.73,9.94,0.54,10.77,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,11-08-2024 00:00,9.81,40.33,4.57,6.97,2.23,9.5,0.62,12.9,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,12-08-2024 00:00,12.4,61.42,4.59,10.76,2.54,12.64,0.65,9.63,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,13-08-2024 00:00,12.64,67.52,4.74,10.95,2.34,12.91,0.7,12.28,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,14-08-2024 00:00,23.17,96.49,6.42,5.51,2.46,8.94,0.66,15.84,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,15-08-2024 00:00,24.65,99.87,5.64,7.98,2.31,7.68,0.68,13.75,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,16-08-2024 00:00,17.92,57.9,6.63,4.75,2.28,4.9,0.46,14.72,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,17-08-2024 00:00,21.43,90.71,11.3,11.9,2.21,8.43,0.55,14.02,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,18-08-2024 00:00,22.52,92.9,11.43,9.95,2.09,7.54,0.87,14.31,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,19-08-2024 00:00,21.38,74.93,11.55,12.76,2.42,8.89,1.01,11.87,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,20-08-2024 00:00,39.86,82.36,14.33,32.68,3.57,18.97,1.28,9.83,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,21-08-2024 00:00,44.68,92.25,17.32,23.01,2.74,15.03,1.06,16.45,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,22-08-2024 00:00,12.46,56.18,17.37,18.15,2.54,17.85,0.85,15.26,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,23-08-2024 00:00,19.16,61.26,11.46,18.13,2.45,20.93,0.71,7.52,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,24-08-2024 00:00,14.9,36.95,10.59,13.22,2.58,16.54,0.75,9.93,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,25-08-2024 00:00,8.61,22.71,6.03,3.07,1.94,5.93,0.95,17.45,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,26-08-2024 00:00,12.73,38.44,9.42,8.47,3.54,12.15,0.24,9.27,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,27-08-2024 00:00,10.61,44.27,7.33,11.8,2.38,13.55,0.93,13.06,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,28-08-2024 00:00,17.61,55.77,7.62,18.49,2.63,18.96,0.82,9.87,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,29-08-2024 00:00,20.92,68.43,8.55,18.88,2.38,19.81,0.63,7.42,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,30-08-2024 00:00,30.82,87.78,7.4,18.3,2.69,18.65,0.59,8.86,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,31-08-2024 00:00,26.24,87.34,5.62,8.19,2.03,9.72,0.27,13.17,,,19.0543,72.8697
Mumbai,Bandra Kurla Complex  Mumbai - MPCB ,01-09-2024 00:00,24.53,59.09,5.16,2.92,1.96,5.31,0.52,17.78,,,19.0543,72.8697
