latitude,longitude,qa_values,NO2,modified
17.314123,78.587845,0.74,2.6121259e-05,26.121259000000002
17.313768,78.446846,0.74,3.582783e-05,35.82783
17.338505,78.51084,0.74,3.3494136e-05,33.494136
17.362917,78.57418,0.74,2.7728825e-05,27.728825
17.312048,78.30314,0.74,4.0768344e-05,40.768344
17.337467,78.36849,0.74,3.8883278e-05,38.883278000000004
17.362545,78.43317,0.74,3.7454913e-05,37.454913000000005
17.387291,78.49717,0.74,3.2135737e-05,32.135737
17.41171,78.560524,0.74,2.9572466e-05,29.572466
17.386232,78.354805,0.74,3.7784772e-05,37.784772000000004
17.411318,78.41949,0.74,3.26867e-05,32.6867
17.436071,78.483505,0.74,2.7406455e-05,27.406455
17.4605,78.546875,0.74,2.4156909e-05,24.156909
17.434994,78.3411,0.74,2.9749508e-05,29.749508
17.460089,78.4058,1.0,2.5835054e-05,25.835054
17.484852,78.46983,0.74,2.2474318e-05,22.474318
17.509287,78.53321,0.74,2.3156575e-05,23.156575
17.533403,78.595955,0.74,3.339894e-05,33.398939999999996
17.483747,78.32736,0.74,2.4884816e-05,24.884816
17.508852,78.39208,0.74,2.1472319e-05,21.472319
17.53362,78.45612,0.74,1.733967e-05,17.33967
17.532516,78.31361,0.74,2.442599e-05,24.42599
